HTML
"<ul><li style=""text-align: center;""><strong><span style=""font-size: 24px; color: rgb(184, 49, 47);"">কাজ- 11</span></strong></li><li style=""text-align: center;""><strong><span style=""font-size: 24px; color: rgb(184, 49, 47);"">গ্রুপ-06<br/></span></strong></li></ul>"
POOL,30
<p>বায়ুমণ্ডলের স্ট্যাস্ট্যাটোস্ফিয়ারের প্রধান উপাদান হলো-</p>,1,one,
,<p>O<sub>2</sub></p>
,<p>Ne</p>
*,<p>O<sub>3</sub></p>
,<p>CO<sub>2</sub></p>
"<p>ট্রপোমন্ডলে-</p><ol style=""list-style-type: lower-roman;""><li>উচ্চতা বৃদ্ধির সঙ্গে বাতাসের গতিবেগ হ্রাস পায়</li><li>নিচ থেকে উপরের দিকে তাপমাত্রা কমতে থাকে</li><li>জলীয় বাষ্প নিচের দিকে বেশি থাকে</li></ol><p>নিচের কোনটি সঠিক ?</p>",1,one,
,<p>i ও ii</p>
*,<p>ii ও iii</p>
,<p>i ও iii</p>
,"<p>i, ii ও iii </p>"
"<p>স্ট্রাটোমন্ডলে জেট বিমান চলাচল করে।কারণ এ স্তরে-</p><ol style=""list-style-type: lower-roman;""><li>কোন জলীয় বাষ্প থাকে না</li><li>ঝড় বৃষ্টি থাকেনা বলে আবহাওয়া শান্ত </li><li>বায়ুর ঘনত্ব কমে গেলে ঘর্ষণজনিত বিপত্তি কম থাকে</li></ol><p>নিচের কোনটি সঠিক ?</p>",1,one,
,<p>i ও ii</p>
,<p>ii ও iii</p>
,<p>i ও iii</p>
*,"<p>i, ii ও iii </p>"
<p>ওজন স্তর ক্ষয়ের জন্য কোন গ্যাসটির দায়ী ?</p>,1,one,
,<p>CH<sub>2</sub>FCl</p>
*,<p>CF<sub>2</sub>Cl<sub>2</sub></p>
,<p>F<sub>2</sub>C-CHCl<sub>2</sub></p>
,<p>CHFCl<sub>2</sub></p>
<p>কোন স্থানের আবহাওয়া ও জলবায়ুকে নিয়ন্ত্রণ করে কোনটি ?</p>,1,one,
,<p>স্ট্যাটাস্ফিয়ার এর বায়ুমন্ডল</p>
*,<p>ট্রপোস্ফিয়ার এর বায়ুমণ্ডল</p>
,<p>আয়নোস্ফিয়ার এর বায়ুমন্ডল</p>
,<p>মেসোস্ফিয়ার এর বায়ুমন্ডল</p>
<p>বায়ুমণ্ডলের স্ট্র্যাটোমণ্ডলীয় স্তর ট্রপোমন্ডলের ঠিক উপরে এবং এতে প্রধানত O<sub>3 </sub>থাকে এই প্রেক্ষিতে স্ট্রাটোমণ্ডল-</p>,1,one,
,<p>জলবায়ু নিয়ন্ত্রণ করে</p>
*,<p>সূর্য থেকে আসা অতিবেগুনি রশ্মিকে শোষণ করে</p>
,<p>তাপমাত্রা পরিবর্তন ট্রপোমন্ডলের মতো</p>
,<p>গ্রিন হাউজ প্রভাব নিয়ন্ত্রণে কোনো ভূমিকা নেই</p>
<p>বায়ুমন্ডলে নাইট্রোজেনের আংশিক চাপ কত ?</p>,1,one,
,<p>1.0 atm</p>
*,<p>0.78 atm</p>
,<p>0.21 atm</p>
,<p>0.14 atm</p>
